0,Pair,launch_week_stamp,launch_day_stamp,launch_minute
CITYBUSD,CITY/BUSD,1636329600000,1636502400000,2021-11-10 08:00:00
RENBUSD,REN/BUSD,1632096000000,1632268800000,2021-09-22 12:00:00
XECBUSD,XEC/BUSD,1627862400000,1628208000000,2021-08-06 04:00:00
IOTABUSD,IOTA/BUSD,1596412800000,1596672000000,2020-08-06 10:00:00
EGLDBUSD,EGLD/BUSD,1598832000000,1599091200000,2020-09-03 03:00:00
GHSTBUSD,GHST/BUSD,1607299200000,1607385600000,2020-12-08 05:30:00
STXBUSD,STX/BUSD,1632096000000,1632441600000,2021-09-24 10:00:00
STORJBUSD,STORJ/BUSD,1595203200000,1595203200000,2020-07-20 12:00:00
EOSBUSD,EOS/BUSD,1572825600000,1573084800000,2019-11-07 10:03:00
XLMBUSD,XLM/BUSD,1574035200000,1574294400000,2019-11-21 04:00:00
TRXBUSD,TRX/BUSD,1572825600000,1573084800000,2019-11-07 10:03:00
ONTBUSD,ONT/BUSD,1581292800000,1581638400000,2020-02-14 08:00:00
XMRBUSD,XMR/BUSD,1582502400000,1582761600000,2020-02-27 11:00:00
CKBBUSD,CKB/BUSD,1611532800000,1611619200000,2021-01-26 12:00:00
LAZIOBUSD,LAZIO/BUSD,1635724800000,1636070400000,2021-11-05 10:00:00
COCOSBUSD,COCOS/BUSD,1638144000000,1638489600000,2021-12-03 09:00:00
BARBUSD,BAR/BUSD,1618790400000,1618963200000,2021-04-21 11:00:00
LOKABUSD,LOKA/BUSD,1642377600000,1642636800000,2022-01-20 12:00:00
ATMBUSD,ATM/BUSD,1622419200000,1622937600000,2021-06-06 10:00:00
JUVBUSD,JUV/BUSD,1608508800000,1608508800000,2020-12-21 06:00:00
ACMBUSD,ACM/BUSD,1613952000000,1614124800000,2021-02-24 11:00:00
DARBUSD,DAR/BUSD,1635724800000,1635984000000,2021-11-04 08:00:00
VOXELBUSD,VOXEL/BUSD,1639353600000,1639440000000,2021-12-14 12:00:00
AVAXBUSD,AVAX/BUSD,1600646400000,1600732800000,2020-09-22 06:30:00
HIGHBUSD,HIGH/BUSD,1639353600000,1639699200000,2021-12-17 07:00:00
XRPBUSD,XRP/BUSD,1571616000000,1571616000000,2019-10-21 08:00:00
GLMRBUSD,GLMR/BUSD,1641772800000,1641859200000,2022-01-11 16:00:00
OGNBUSD,OGN/BUSD,1630281600000,1630627200000,2021-09-03 10:00:00
KDABUSD,KDA/BUSD,1646611200000,1646956800000,2022-03-11 11:30:00
APEBUSD,APE/BUSD,1647216000000,1647475200000,2022-03-17 14:30:00
BADGERBUSD,BADGER/BUSD,1614556800000,1614643200000,2021-03-02 08:00:00
PLABUSD,PLA/BUSD,1637539200000,1637625600000,2021-11-23 06:00:00
XNOBUSD,XNO/BUSD,1642982400000,1643328000000,2022-01-28 08:00:00
DOGEBUSD,DOGE/BUSD,1595808000000,1596067200000,2020-07-30 05:00:00
WAVESBUSD,WAVES/BUSD,1581292800000,1581379200000,2020-02-11 08:00:00
ZILBUSD,ZIL/BUSD,1589760000000,1590105600000,2020-05-22 08:00:00
STMXBUSD,STMX/BUSD,1623628800000,1623974400000,2021-06-18 10:00:00
MBLBUSD,MBL/BUSD,1650844800000,1651190400000,2022-04-29 11:00:00
AXSBUSD,AXS/BUSD,1604275200000,1604448000000,2020-11-04 13:00:00
ASTRBUSD,ASTR/BUSD,1646006400000,1646006400000,2022-02-28 11:30:00
ADXBUSD,ADX/BUSD,1626652800000,1626998400000,2021-07-23 10:00:00
EPSBUSD,EPS/BUSD,1616976000000,1617321600000,2021-04-02 09:00:00
SNXBUSD,SNX/BUSD,1593993600000,1594252800000,2020-07-09 12:00:00
MTLBUSD,MTL/BUSD,1630281600000,1630627200000,2021-09-03 10:00:00
ZRXBUSD,ZRX/BUSD,1595808000000,1596067200000,2020-07-30 05:00:00
ELFBUSD,ELF/BUSD,1630886400000,1631145600000,2021-09-09 08:00:00
NEARBUSD,NEAR/BUSD,1602460800000,1602633600000,2020-10-14 05:00:00
ENSBUSD,ENS/BUSD,1636329600000,1636502400000,2021-11-10 07:00:00
SCRTBUSD,SCRT/BUSD,1634515200000,1634860800000,2021-10-22 10:00:00
NMRBUSD,NMR/BUSD,1597622400000,1597622400000,2020-08-17 12:02:00
SKLBUSD,SKL/BUSD,1606694400000,1606780800000,2020-12-01 01:00:00
GRTBUSD,GRT/BUSD,1613952000000,1614038400000,2021-02-23 12:00:00
MOBBUSD,MOB/BUSD,1650844800000,1651190400000,2022-04-29 10:00:00
DNTBUSD,DNT/BUSD,1604880000000,1604966400000,2020-11-10 06:00:00
QUICKBUSD,QUICK/BUSD,1626652800000,1626998400000,2021-07-23 08:00:00
SLPBUSD,SLP/BUSD,1619395200000,1619740800000,2021-04-30 12:00:00
PORTOBUSD,PORTO/BUSD,1650240000000,1650585600000,2022-04-22 10:00:00
TOMOBUSD,TOMO/BUSD,1582502400000,1582761600000,2020-02-27 11:00:00
ZECBUSD,ZEC/BUSD,1582502400000,1582761600000,2020-02-27 11:00:00
MULTIBUSD,MULTI/BUSD,1649030400000,1649203200000,2022-04-06 04:00:00
FLUXBUSD,FLUX/BUSD,1638748800000,1639094400000,2021-12-10 06:00:00
PYRBUSD,PYR/BUSD,1637539200000,1637884800000,2021-11-26 08:00:00
GALBUSD,GAL/BUSD,1651449600000,1651708800000,2022-05-05 12:00:00
SRMBUSD,SRM/BUSD,1597017600000,1597104000000,2020-08-11 13:30:00
FIROBUSD,FIRO/BUSD,1655078400000,1655424000000,2022-06-17 10:00:00
SNMBUSD,SNM/BUSD,1661126400000,1661472000000,2022-08-26 08:00:00
