,0,Pair,launch_week_stamp,launch_day_stamp,launch_minute
220,DAIBUSD,DAI/BUSD,1595203200000,1595462400000,2020-07-23 14:00:00
221,RUNEBUSD,RUNE/BUSD,1595203200000,1595548800000,2020-07-24 11:00:00
222,MANABUSD,MANA/BUSD,1595808000000,1596067200000,2020-07-30 05:00:00
223,DOGEBUSD,DOGE/BUSD,1595808000000,1596067200000,2020-07-30 05:00:00
224,LENDBUSD,LEND/BUSD,1595808000000,1596067200000,2020-07-30 05:00:00
225,ZRXBUSD,ZRX/BUSD,1595808000000,1596067200000,2020-07-30 05:00:00
226,DCRUSDT,DCR/USDT,1595808000000,1596067200000,2020-07-30 05:00:00
227,STORJUSDT,STORJ/USDT,1595808000000,1596067200000,2020-07-30 05:00:00
228,AUDBUSD,AUD/BUSD,1595808000000,1596153600000,2020-07-31 10:00:00
229,FIOBUSD,FIO/BUSD,1595808000000,1596153600000,2020-07-31 09:00:00
230,BNBUPUSDT,BNBUP/USDT,1596412800000,1596672000000,2020-08-06 07:00:00
231,BNBDOWNUSDT,BNBDOWN/USDT,1596412800000,1596672000000,2020-08-06 07:00:00
232,XTZUPUSDT,XTZUP/USDT,1596412800000,1596758400000,2020-08-07 07:00:00
233,XTZDOWNUSDT,XTZDOWN/USDT,1596412800000,1596758400000,2020-08-07 07:00:00
234,AVABUSD,AVA/BUSD,1596412800000,1596585600000,2020-08-05 15:00:00
235,IOTABUSD,IOTA/BUSD,1596412800000,1596672000000,2020-08-06 10:00:00
236,MANAUSDT,MANA/USDT,1596412800000,1596672000000,2020-08-06 10:00:00
237,AUDUSDT,AUD/USDT,1596412800000,1596758400000,2020-08-07 02:00:00
238,BALBUSD,BAL/BUSD,1596412800000,1596672000000,2020-08-06 14:00:00
239,YFIBUSD,YFI/BUSD,1597017600000,1597017600000,2020-08-10 12:00:00
240,YFIUSDT,YFI/USDT,1597017600000,1597017600000,2020-08-10 12:00:00
241,BLZBUSD,BLZ/BUSD,1597017600000,1597104000000,2020-08-11 06:00:00
242,KMDBUSD,KMD/BUSD,1597017600000,1597104000000,2020-08-11 06:00:00
243,BALUSDT,BAL/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
244,BLZUSDT,BLZ/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
245,IRISUSDT,IRIS/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
246,KMDUSDT,KMD/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
247,JSTBUSD,JST/BUSD,1597017600000,1597104000000,2020-08-11 06:00:00
248,JSTUSDT,JST/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
249,SRMBUSD,SRM/BUSD,1597017600000,1597104000000,2020-08-11 13:30:00
250,SRMUSDT,SRM/USDT,1597017600000,1597104000000,2020-08-11 13:30:00
251,ANTBUSD,ANT/BUSD,1597017600000,1597276800000,2020-08-13 02:30:00
252,ANTUSDT,ANT/USDT,1597017600000,1597276800000,2020-08-13 02:30:00
253,CRVBUSD,CRV/BUSD,1597017600000,1597449600000,2020-08-15 04:00:00
254,CRVUSDT,CRV/USDT,1597017600000,1597449600000,2020-08-15 04:00:00
255,SANDUSDT,SAND/USDT,1597017600000,1597363200000,2020-08-14 13:00:00
256,SANDBUSD,SAND/BUSD,1597017600000,1597363200000,2020-08-14 13:00:00
257,OCEANBUSD,OCEAN/BUSD,1597622400000,1597622400000,2020-08-17 08:00:00
258,OCEANUSDT,OCEAN/USDT,1597622400000,1597795200000,2020-08-19 08:00:00
259,NMRBUSD,NMR/BUSD,1597622400000,1597622400000,2020-08-17 12:02:00
260,NMRUSDT,NMR/USDT,1597622400000,1597795200000,2020-08-19 12:00:00
261,DOTBUSD,DOT/BUSD,1597622400000,1597708800000,2020-08-18 23:00:00
262,DOTUSDT,DOT/USDT,1597622400000,1597708800000,2020-08-18 23:00:00
263,LUNABUSD,LUNA/BUSD,1597622400000,1597795200000,2020-08-19 10:00:00
264,LUNAUSDT,LUNA/USDT,1597622400000,1597968000000,2020-08-21 10:00:00
265,IDEXBUSD,IDEX/BUSD,1597622400000,1598054400000,2020-08-22 07:00:00
266,RSRBUSD,RSR/BUSD,1598227200000,1598313600000,2020-08-25 07:00:00
267,RSRUSDT,RSR/USDT,1598227200000,1598486400000,2020-08-27 07:00:00
268,PAXGBUSD,PAXG/BUSD,1598227200000,1598400000000,2020-08-26 12:00:00
269,PAXGUSDT,PAXG/USDT,1598227200000,1598572800000,2020-08-28 12:00:00
270,WNXMBUSD,WNXM/BUSD,1598227200000,1598400000000,2020-08-26 07:00:00
271,WNXMUSDT,WNXM/USDT,1598227200000,1598572800000,2020-08-28 07:00:00
272,TRBBUSD,TRB/BUSD,1598227200000,1598486400000,2020-08-27 07:00:00
273,TRBUSDT,TRB/USDT,1598227200000,1598659200000,2020-08-29 07:00:00
274,BZRXBUSD,BZRX/BUSD,1598227200000,1598659200000,2020-08-29 07:00:00
275,BZRXUSDT,BZRX/USDT,1598832000000,1598832000000,2020-08-31 07:00:00
276,SUSHIBUSD,SUSHI/BUSD,1598832000000,1598918400000,2020-09-01 11:00:00
277,SUSHIUSDT,SUSHI/USDT,1598832000000,1598918400000,2020-09-01 11:00:00
278,YFIIBUSD,YFII/BUSD,1598832000000,1598918400000,2020-09-01 11:00:00
279,YFIIUSDT,YFII/USDT,1598832000000,1598918400000,2020-09-01 11:00:00
280,KSMBUSD,KSM/BUSD,1598832000000,1599004800000,2020-09-02 11:00:00
281,KSMUSDT,KSM/USDT,1598832000000,1599177600000,2020-09-04 11:00:00
282,EGLDBUSD,EGLD/BUSD,1598832000000,1599091200000,2020-09-03 03:00:00
283,EGLDUSDT,EGLD/USDT,1598832000000,1599091200000,2020-09-03 03:00:00
284,DIABUSD,DIA/BUSD,1598832000000,1599004800000,2020-09-02 13:00:00
285,DIAUSDT,DIA/USDT,1598832000000,1599177600000,2020-09-04 13:00:00
286,RUNEUSDT,RUNE/USDT,1598832000000,1599177600000,2020-09-04 06:50:00
287,FIOUSDT,FIO/USDT,1598832000000,1599177600000,2020-09-04 06:50:00
288,UMAUSDT,UMA/USDT,1599436800000,1599609600000,2020-09-09 09:00:00
289,EOSUPUSDT,EOSUP/USDT,1599436800000,1599696000000,2020-09-10 07:00:00
290,EOSDOWNUSDT,EOSDOWN/USDT,1599436800000,1599696000000,2020-09-10 07:00:00
291,TRXUPUSDT,TRXUP/USDT,1599436800000,1599696000000,2020-09-10 07:00:00
292,TRXDOWNUSDT,TRXDOWN/USDT,1599436800000,1599696000000,2020-09-10 07:00:00
293,XRPUPUSDT,XRPUP/USDT,1599436800000,1599782400000,2020-09-11 07:00:00
294,XRPDOWNUSDT,XRPDOWN/USDT,1599436800000,1599782400000,2020-09-11 07:00:00
295,DOTUPUSDT,DOTUP/USDT,1599436800000,1599782400000,2020-09-11 07:00:00
296,DOTDOWNUSDT,DOTDOWN/USDT,1599436800000,1599782400000,2020-09-11 07:00:00
297,BELBUSD,BEL/BUSD,1600041600000,1600128000000,2020-09-15 08:00:00
298,BELUSDT,BEL/USDT,1600041600000,1600128000000,2020-09-15 08:00:00
299,SWRVBUSD,SWRV/BUSD,1600041600000,1600128000000,2020-09-15 06:00:00
300,WINGBUSD,WING/BUSD,1600041600000,1600214400000,2020-09-16 02:00:00
301,WINGUSDT,WING/USDT,1600041600000,1600214400000,2020-09-16 02:00:00
302,LTCUPUSDT,LTCUP/USDT,1600041600000,1600214400000,2020-09-16 07:00:00
303,LTCDOWNUSDT,LTCDOWN/USDT,1600041600000,1600214400000,2020-09-16 07:00:00
304,CREAMBUSD,CREAM/BUSD,1600041600000,1600214400000,2020-09-16 13:00:00
305,UNIBUSD,UNI/BUSD,1600041600000,1600300800000,2020-09-17 03:00:00
306,UNIUSDT,UNI/USDT,1600041600000,1600300800000,2020-09-17 03:00:00
307,NBSUSDT,NBS/USDT,1600646400000,1600646400000,2020-09-21 10:00:00
308,OXTUSDT,OXT/USDT,1600646400000,1600646400000,2020-09-21 08:15:00
309,SUNUSDT,SUN/USDT,1600646400000,1600646400000,2020-09-21 14:00:00
310,AVAXBUSD,AVAX/BUSD,1600646400000,1600732800000,2020-09-22 06:30:00
